# following ideographs were merged, because they share an identical L1 IDS
# ╪ 扌 not merged, for they're belonging to different ideographs
# ⺊ 𠂉 not merged, for they're belonging to different ideographs
# 〢 刂 not merged, for they're belonging to different ideographs
# 〣 川 not merged, for they're belonging to different ideographs
# 㐅 乂. 乂J not merged, for they're belonging to different ideographs
㐌.	㐌T
# 㐵 仠 not merged, for they're belonging to different ideographs
㑊.	㑊K
㑗.	㑗T
㒎.	㒎T
㒛.	㒛T
㒜.	㒜T
㒪.	㒪T
㒵.	㒵T
㒶.	㒶T
㒸.	㒸d
㒾.	㒾T
㓁H	㓁K
㓏K	㓏T
㓗.	㓗T
㓭.	㓭T
㓽.	㓽T
㔠.	㔠T
㔺.	㔺J
㕛.	㕛T	㕛d
㕣.	㕣T
㕬.	㕬T
㖠.	㖠T
㖸.	㖸T
㖹.	㖹T
㗉.	㗉T
㗔.	㗔T
㗣.	㗣T
㗩.	㗩T
㘌.	㘌T
# 㘟 𡆪 not merged, for they're belonging to different ideographs
㙤.	㙤T
# 㚥 奸 not merged, for they're belonging to different ideographs
㛃.	㛃H
㛐.	㛐K
㛛.	㛛T
㛪.	㛪T
㜘.	㜘T
㜲H	㜲T
㝐.	㝐T
㝮.	㝮T
㝸.	㝸J
# 㝼 𡯋 not merged, for they're belonging to different ideographs
㝿.	㝿K
㞄.	㞄T
㞡.	㞡T
㞣.	㞣T
㞷.	㞷T
㟽.	㟽T
㠄.	㠄T
㠊J	㠊K
㠑.	㠑T
㠒.	㠒T
㠠.	㠠H
㠭.	㠭h
㠵.	㠵T
㠺.	㠺K
㡋.	㡋T
㡦.	㡦K
㡫.	㡫T
# 㡰 𢇛 not merged, for they're belonging to different ideographs
㢒.	㢒T
㢞.	㢞T
# 㢨 弙 not merged, for they're belonging to different ideographs
㢮.	㢮T
㣞.	㣞T
㣻.	㣻T
㤋.	㤋T
㤯J	㤯T
㤿.	㤿T
㥛K	㥛T
㥱.	㥱T
㥹.	㥹T
㦅.	㦅T
㦆.	㦆T
㦌.	㦌T
㦍.	㦍T
㦴.	㦴K
㦻.	㦻T
㦾J	㦾T
㧒.	㧒T
㧬J	㧬T
㧳.	㧳T
㧶.	㧶T
㨘.	㨘H
㨜.	㨜T
㨣.	㨣T
㨿.	㨿T
㩣.	㩣T
㩦H	㩦K
㩵.	㩵T
㩺.	㩺T
# 㪀 攼 not merged, for they're belonging to different ideographs
㫵.	㫵H
㬓.	㬓T
㬔.	㬔T
㬞.	㬞T
# 㬵J 胶J not merged, for they're belonging to different ideographs
㭴J	㭴V
㭺.	㭺T
㮈J	㮈T
㮬.	㮬T
㯂.	㯂H
㯇.	㯇T
㯉.	㯉T
